序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3226,000701,厦门信达,5.91,0.34,0.02,86383.0,50834449.0,1.87,5.95,5.84,5.93,5.89,0.8,1.29,446.3,-7.8,3949730456.0,3946382589.0,0.0,0.0,-10.45,-10.05,000701.SZ
3228,002688,金河生物,5.91,0.34,0.02,138718.0,81826848.78,2.04,5.98,5.86,5.9,5.89,0.63,1.86,24.53,1.94,4547770992.0,4417509976.0,-0.17,0.0,-4.37,-0.67,002688.SZ
3230,002479,富春环保,5.9,0.34,0.02,379279.0,220774658.0,3.06,5.93,5.75,5.88,5.88,0.96,4.39,15.73,1.21,5103500000.0,5092129780.0,0.0,0.34,17.76,20.41,002479.SZ
3232,600399,抚顺特钢,5.88,0.34,0.02,365788.0,212999148.0,2.56,5.91,5.76,5.88,5.86,1.11,1.85,-14.41,2.1,11595948000.0,11595948000.0,0.0,0.17,-9.4,0.68,600399.SS
3235,600739,辽宁成大,11.77,0.34,0.04,100516.0,117813351.0,2.13,11.86,11.61,11.83,11.73,0.81,0.66,9.9,0.61,18004684534.0,18004684534.0,0.0,0.09,-4.0,5.28,600739.SS
3236,001239,永达股份,15.41,0.33,0.05,34207.0,52508047.0,2.08,15.52,15.2,15.5,15.36,0.9,3.0,77.81,2.73,3698400000.0,1756740000.0,0.26,0.33,-6.72,-5.58,001239.SZ
3237,002748,世龙实业,12.18,0.33,0.04,34946.0,42336502.74,1.57,12.22,12.03,12.14,12.14,0.75,1.46,54.23,2.13,2923200000.0,2923200000.0,-0.08,-0.08,-3.64,-5.65,002748.SZ
3239,600229,城市传媒,6.02,0.33,0.02,27824.0,16688936.0,1.83,6.06,5.95,6.04,6.0,0.71,0.42,95.11,1.26,3977460860.0,3977460860.0,0.0,-0.17,-9.34,-5.05,600229.SS
3240,603335,迪生力,6.11,0.33,0.02,211577.0,128238728.0,3.28,6.16,5.96,6.12,6.09,0.88,4.94,53.96,8.6,2615963506.0,2615963506.0,0.49,0.33,7.76,8.53,603335.SS
3242,605008,长鸿高科,12.18,0.33,0.04,14204.0,17317400.0,2.06,12.29,12.04,12.18,12.14,0.72,0.22,367.43,3.91,7867822203.0,7867822203.0,0.0,-0.16,-14.47,-14.65,605008.SS
3244,600918,中泰证券,6.12,0.33,0.02,174441.0,106224427.0,1.31,6.14,6.06,6.12,6.1,0.68,0.44,33.78,1.09,48460246896.0,24026185592.0,0.16,0.16,-8.52,-5.85,600918.SS
3248,603106,恒银科技,9.1,0.33,0.03,44488.0,40391846.0,2.21,9.2,9.0,9.09,9.07,0.62,0.85,199.58,3.62,4736732000.0,4736732000.0,0.0,0.0,-16.36,-14.87,603106.SS
3249,600916,中国黄金,9.14,0.33,0.03,217984.0,198863607.0,1.21,9.19,9.08,9.15,9.11,0.52,1.3,34.39,2.13,15355200000.0,15355200000.0,0.22,0.33,11.46,12.15,600916.SS
3256,603636,南威软件,9.31,0.32,0.03,70428.0,65639931.0,2.26,9.43,9.22,9.33,9.28,1.16,1.21,-40.28,2.4,5403156469.0,5403156469.0,0.11,0.11,-26.17,-21.37,603636.SS
3257,603677,奇精机械,15.83,0.32,0.05,14944.0,23663416.0,2.03,16.0,15.68,15.89,15.78,1.04,0.78,63.21,2.63,3048871693.0,3048871693.0,-0.25,-0.44,-12.69,-12.93,603677.SS
3260,002031,巨轮智能,6.21,0.32,0.02,306345.0,189499452.64,1.62,6.24,6.14,6.24,6.19,0.76,1.58,-114.48,6.43,13658247111.0,12039659800.0,0.16,0.0,-24.45,-20.99,002031.SZ
3263,603178,圣龙股份,15.72,0.32,0.05,16229.0,25385598.0,2.36,15.89,15.52,15.89,15.67,0.93,0.69,-38.21,3.06,3716394769.0,3716394769.0,0.06,0.19,-17.95,-16.69,603178.SS
3265,000429,粤高速Ａ,12.61,0.32,0.04,60892.0,76748301.76,2.23,12.78,12.5,12.61,12.57,1.02,0.47,14.64,2.37,26365065249.0,16434990115.0,0.08,0.24,9.84,7.05,000429.SZ
3268,688565,力源科技,12.64,0.32,0.04,21413.0,26994561.0,4.44,12.9,12.34,12.89,12.6,0.76,1.43,195.73,3.81,1892587200.0,1892587200.0,0.08,0.32,4.55,12.96,688565.SS
3270,600958,东方证券,9.34,0.32,0.03,435918.0,405743255.0,1.83,9.41,9.24,9.35,9.31,0.8,0.58,14.09,1.0,79358667027.0,69764969950.0,0.0,0.21,-14.39,-14.31,600958.SS
3273,600155,华创云信,6.36,0.32,0.02,228092.0,144651123.0,2.21,6.42,6.28,6.38,6.34,0.79,1.03,51.59,0.7,14078130154.0,14078130154.0,0.0,0.0,-7.56,-3.93,600155.SS
3278,002909,集泰股份,6.37,0.31,0.02,118888.0,75216168.12,2.99,6.45,6.26,6.42,6.35,1.1,3.13,-89.59,2.88,2484300000.0,2423127692.0,-0.31,0.0,-12.14,-6.46,002909.SZ
3281,600461,洪城环境,9.77,0.31,0.03,59040.0,57398346.0,1.23,9.79,9.67,9.74,9.74,0.63,0.46,10.09,1.3,12546200075.0,12546200075.0,0.0,0.0,4.49,5.39,600461.SS
