date,code,price,rebound,name
2025-12-29,002357,10.75,9.47%,富临运业
2025-12-29,600000,12.17,9.25%,浦发银行
2025-12-29,601789,5.1,6.03%,宁波建工
2025-12-29,002918,14.3,5.54%,蒙娜丽莎
2025-12-29,600596,11.63,10.76%,新安股份
2025-12-29,600507,5.96,8.36%,方大特钢
2025-12-29,002205,14.49,11.72%,国统股份
2025-12-29,002583,11.53,8.36%,海能达
2025-12-29,688030,18.16,6.32%,山石网科
2025-12-29,688201,13.65,8.85%,信安世纪
2025-12-29,600390,5.63,6.03%,五矿资本
2025-12-29,600382,7.27,7.23%,广东明珠
2025-12-29,002406,7.89,11.28%,远东传动
2025-12-29,601872,9.12,14.86%,招商轮船
2025-12-29,002203,12.57,13.55%,海亮股份
2025-12-29,603276,16.93,5.42%,恒兴新材
2025-12-29,603885,14.25,8.78%,吉祥航空
2025-12-29,600051,7.58,6.61%,宁波联合
2025-12-29,600359,7.3,9.61%,新农开发
2025-12-29,600843,12.15,13.87%,上工申贝
2025-12-29,600288,15.2,6.37%,大恒科技
2025-12-29,600839,9.15,6.03%,四川长虹
2025-12-29,002892,13.28,9.93%,科力尔
2025-12-29,603969,10.07,9.69%,银龙股份
2025-12-29,002530,10.5,11.46%,金财互联
2025-12-29,603577,10.73,8.71%,汇金通
2025-12-29,002382,5.58,7.72%,蓝帆医疗
2025-12-29,600703,14.32,10.92%,三安光电
2025-12-29,688616,12.31,6.86%,西力科技
